"model_ref","workflow_file","node_label"
"Qwen3-4B-Q8_0.gguf","workflows\z-image-gguf-example_workflow_mod_i.json","CLIPLoaderGGUF"
"Qwen3-4B-Q8_0.gguf","workflows\z-image-gguf-example_workflow_mod_i_anime_boys.json","CLIPLoaderGGUF"
"Qwen3-4B-Q8_0.gguf","workflows\z-image-gguf-example_workflow_mod.json","CLIPLoaderGGUF"
"Qwen3-4B-Q8_0.gguf","png-outputs\ComfyUI_00355_.png","CLIPLoader (GGUF) (CLIPLoaderGGUF)"
"Qwen3-4B-Q8_0.gguf","png-outputs\ComfyUI_00279_.png","CLIPLoader (GGUF) (CLIPLoaderGGUF)"
"Qwen3-4B-UD-Q8_K_XL.gguf","workflows\z-image-gguf-example_workflow.json","CLIPLoaderGGUF"
"qwen-image-edit-2511-Q5_0.gguf","workflows\workflow-comfyui-tutorial-enhanced-image-editing-with-qwen-edit-2511-sAG0fzfEGOFOwcqsTaoE-cgpixel_ai_art-openart.ai.json","LoaderGGUF"
"qwen-image-Q8_0.gguf","workflows-png\BunnyExplorer.png","Unet Loader (GGUF) (UnetLoaderGGUF)"
"realisticVisionV60B1_v51VAE.safetensors","workflows\FixMulti.json","CheckpointLoaderSimple"
"realvisxlV50_v50LightningBakedvae.safetensors","workflows\realvisxlV50LightningBoysStairsKeepPoseTest.json","CheckpointLoaderSimple"
"realvisxlV50_v50LightningBakedvae.safetensors","png-outputs\ComfyUI_00280_.png","Load Checkpoint (CheckpointLoaderSimple)"
"realvisxlV50_v50LightningBakedvae.safetensors","workflows\realvisxlV50LightningBoysStairsKeepPose.json","CheckpointLoaderSimple"
"realvisxlV50_v50LightningBakedvae.safetensors","workflows\realvisxlV50LightningOffice50stepsWorks.json","CheckpointLoaderSimple"
"realvisxlV50_v50LightningBakedvae.safetensors","workflows\workflow-background-replacer-for-products-portraits-lighting-adjustment-detail-preservation-UdbHePrLFEP9WzdrmmFj-myaiforce-openart.ai.json","CheckpointLoaderSimple"
"realvisxlV50_v50LightningBakedvae.safetensors","workflows\realvisxlV50LightningOffice50stepsWorks2wheredoesthisgo.json","CheckpointLoaderSimple"
"realvisxlV50_v50LightningBakedvae.safetensors","workflows\realvisxlV50LightningOffice50stepsWorks2.json","CheckpointLoaderSimple"
"Retro_Cars-000011.safetensors","workflows-png\ShortzMasks.png","LoraLoader"
"sam_vit_h_4b8939.pth","workflows\3d-bekah-kitchen-sink.json","SAMLoader"
"sd_xl_base_1.0_0.9vae.safetensors","workflows\workflow-basic-sdxl-refiner-workflow-Q6n55PcgIumjDRoPmPHX-openart-openart.ai.json","CheckpointLoaderSimple"
"sd_xl_base_1.0_0.9vae.safetensors","workflows\workflow-outpainting-with-seam-fix-aO8mb2DFYJlyr7agH7p9-openart-openart.ai.json","CheckpointLoaderSimple"
"sd_xl_base_1.0_0.9vae.safetensors","workflows\workflow-ultra-basic-sdxl-workflow-not-recommended-tOYu3yw8kSXxA1gB96Db-openart-openart.ai.json","CheckpointLoaderSimple"
"sd_xl_refiner_1.0.safetensors","workflows\workflow-basic-sdxl-refiner-workflow-Q6n55PcgIumjDRoPmPHX-openart-openart.ai.json","CheckpointLoaderSimple"
"sd_xl_refiner_1.0_0.9vae.safetensors","workflows\workflow-basic-sdxl-workflow-P8VEtDSQGYf4pOugtnvO-openart-openart.ai.json","CheckpointLoaderSimple"
"sd_xl_refiner_1.0_0.9vae.safetensors","workflows\workflow-hyper-realistic-face-swap-NHak5yfr3oLLrQMY0Ogc-iahmedabdelnaby-openart.ai.json","CheckpointLoaderSimple"
"SD1.5\512-inpainting-ema.safetensors","workflows-png\sd1.5_inpaint.png","Load Checkpoint (CheckpointLoaderSimple)"
"SD1.5\blindbox_V1Mix.safetensors","workflows-png\lora.png","Load LoRA (LoraLoader)"
"sd15/absolutereality_v181.safetensors","workflows\workflow-controlnet-canny-azMlEKGzcKLyaqOQh0IF-openart-openart.ai.json","CheckpointLoaderSimple"
"sd15/absolutereality_v181.safetensors","workflows\workflow-ipadapter-batches-uxH7XEmMuKTAC0sfr8s1-openart-openart.ai.json","CheckpointLoaderSimple"
"sd15/absolutereality_v181INPAINTING.safetensors","workflows\workflow-ipadapter-inpainting-SwnT5jEA2mQ9l76l4oTi-openart-openart.ai.json","CheckpointLoaderSimple"
"sd-v1-5-inpainting.ckpt","workflows\workflow-basic-outpainting-workflow-4UymtsV7TcfpZPHPgIpd-openart-openart.ai.json","CheckpointLoaderSimple"
"SDXL/controlnet-union-sdxl-1.0/diffusion_pytorch_model_promax.safetensors","workflows\workflow-flux-outpaint-yA4J92GIBHFaOsY0CnVx-weasel_dimpled_56-openart.ai.json","ControlNetLoader"
"SDXL/controlnet-union-sdxl-1.0/diffusion_pytorch_model_promax.safetensors","workflows\workflow-flux-outpaint-pro-M3OEFh46Ojtb6RcdOCsI-myaiforce-openart.ai.json","ControlNetLoader"
"sdxl/diffusion_pytorch_model_promax.safetensors","workflows\workflow-background-replacer-for-products-portraits-lighting-adjustment-detail-preservation-UdbHePrLFEP9WzdrmmFj-myaiforce-openart.ai.json","ControlNetLoader"
"SDXL\control-lora-canny-rank128.safetensors","workflows-png\ComfyUI_00122_sdxl.png","Load ControlNet Model (ControlNetLoader)"
"SDXL\controlnet-union-sdxl-1.0\diffusion_pytorch_model.safetensors","workflows\realvisxlV50LightningBoysStairsKeepPose.json","ControlNetLoader"
